"is_smsing","safe_info","domain_old_info","is_ip","url_length","number_of_subdomains","is_https","special_characters","tlds_blackist","make_redirection","is_suspended","count_dictionary","creation_year","creation_month","creation_day","updated_year","updated_month","updated_day","days_difference"
1,0,0,0,36,0,0,0,1,0,0,5,2023,5,30,2023,6,4,5
0,0,0,0,25,1,1,0,0,0,,0,,,,,,,
1,0,0,1,34,2,0,0,0,1,,4,,,,,,,
0,0,0,0,25,1,1,0,0,0,,2,,,,,,,
0,0,0,0,20,0,1,0,0,1,,3,,,,,,,
1,0,0,0,18,0,0,0,1,0,0,2,2023,11,6,2023,11,11,5
1,0,0,0,50,0,0,1,1,0,0,7,2023,5,30,2023,6,4,5
1,0,0,0,50,0,0,1,1,0,0,2,2023,5,30,2023,6,4,5
1,0,0,0,33,1,1,0,0,0,0,7,2024,2,4,2024,2,4,0
1,0,0,1,34,2,0,0,0,1,,4,,,,,,,
0,0,0,0,25,1,1,0,0,0,,1,,,,,,,
0,0,0,0,20,0,1,0,0,1,,3,,,,,,,
0,0,0,0,59,2,0,1,0,1,0,0,1997,11,17,2023,11,17,9496
1,0,0,0,25,0,0,0,1,0,0,4,2023,5,30,2023,6,4,5
1,0,0,1,48,2,0,1,0,0,,8,,,,,,,
0,0,0,0,59,2,0,1,0,1,0,2,1997,11,17,2023,11,17,9496
0,0,0,0,20,0,1,0,0,1,,3,,,,,,,
1,0,0,0,20,0,0,0,0,0,1,7,2023,9,12,2023,10,7,25
0,0,0,0,20,0,1,0,0,1,,1,,,,,,,
0,0,0,0,20,0,1,0,0,1,,2,,,,,,,
1,0,0,1,48,2,0,1,0,0,,4,,,,,,,
1,0,0,0,36,0,0,0,1,0,0,4,2023,5,30,2023,6,4,5
1,0,0,0,18,0,0,0,0,0,0,4,2023,11,6,2023,11,6,0
1,0,0,1,34,2,0,0,0,1,,3,,,,,,,
0,0,0,0,25,1,1,0,0,0,,2,,,,,,,
1,0,0,0,36,0,0,0,1,0,0,7,2023,5,30,2023,6,4,5
0,0,0,0,20,0,1,0,0,1,,2,,,,,,,
1,0,0,0,50,0,0,1,1,0,0,2,2023,5,30,2023,6,4,5
1,0,0,1,48,2,0,1,0,0,,6,,,,,,,
1,0,0,0,50,0,0,1,1,0,0,4,2023,5,30,2023,6,4,5
1,0,0,0,18,0,0,0,1,0,0,5,2023,11,6,2023,11,11,5
1,0,0,0,20,0,0,0,0,0,1,6,2023,9,12,2023,10,7,25
1,0,0,0,18,0,0,0,1,0,0,4,2023,11,6,2023,11,11,5
0,0,0,0,59,2,0,1,0,1,0,2,1997,11,17,2023,11,17,9496
1,0,0,1,22,2,0,0,0,0,,6,,,,,,,
1,0,0,0,11,0,0,0,0,0,,4,,,,,,,
1,0,0,0,18,0,0,0,0,0,0,1,2023,11,6,2023,11,6,0
1,0,0,0,18,0,0,0,1,0,0,5,2023,11,6,2023,11,11,5
0,0,0,0,20,0,1,0,0,1,,2,,,,,,,
1,0,0,1,48,2,0,1,0,0,,5,,,,,,,
0,0,0,0,59,2,0,1,0,1,0,2,1997,11,17,2023,11,17,9496
0,0,0,0,59,2,0,1,0,1,0,5,1997,11,17,2023,11,17,9496
0,0,0,0,20,0,1,0,0,1,,0,,,,,,,
1,0,0,1,48,2,0,1,0,0,,4,,,,,,,
1,0,0,0,25,0,0,0,1,0,0,5,2023,5,30,2023,6,4,5
1,0,0,1,34,2,0,0,0,1,,6,,,,,,,
1,0,0,0,20,0,0,0,0,0,1,5,2023,9,12,2023,10,7,25
1,0,0,1,34,2,0,0,0,1,,5,,,,,,,
0,0,0,0,25,1,1,0,0,0,,1,,,,,,,
0,0,0,0,25,1,1,0,0,0,,1,,,,,,,
1,0,0,0,50,0,0,1,1,0,0,2,2023,5,30,2023,6,4,5
1,0,0,0,50,0,0,1,1,0,0,6,2023,5,30,2023,6,4,5
1,0,0,0,25,0,0,0,1,0,0,4,2023,5,30,2023,6,4,5
1,0,0,0,36,0,0,0,1,0,0,7,2023,5,30,2023,6,4,5
1,0,0,1,34,2,0,0,0,1,,7,,,,,,,
0,0,0,0,25,1,1,0,0,0,,2,,,,,,,
1,0,0,0,36,0,0,0,1,0,0,4,2023,5,30,2023,6,4,5
1,0,0,0,18,0,0,0,1,0,0,7,2023,11,6,2023,11,11,5
1,0,0,0,33,1,1,0,0,0,0,4,2024,2,4,2024,2,4,0
1,0,0,1,48,2,0,1,0,0,,8,,,,,,,
1,0,0,0,36,0,0,0,1,0,0,3,2023,5,30,2023,6,4,5
0,0,0,0,25,1,1,0,0,0,,3,,,,,,,
1,0,0,1,34,2,0,0,0,1,,5,,,,,,,
0,0,0,0,20,0,1,0,0,1,,2,,,,,,,
0,0,0,0,20,0,1,0,0,1,,2,,,,,,,
1,0,0,1,22,2,0,0,0,0,,7,,,,,,,
0,0,0,0,20,0,1,0,0,1,,5,,,,,,,
0,0,0,0,59,2,0,1,0,1,0,3,1997,11,17,2023,11,17,9496
1,0,0,1,22,2,0,0,0,0,,3,,,,,,,
0,0,0,0,25,1,1,0,0,0,,3,,,,,,,
1,0,0,0,50,0,0,1,1,0,0,2,2023,5,30,2023,6,4,5
1,0,0,0,25,0,0,0,1,0,0,6,2023,5,30,2023,6,4,5
1,0,0,0,36,0,0,0,1,0,0,5,2023,5,30,2023,6,4,5
0,0,0,0,59,2,0,1,0,1,0,2,1997,11,17,2023,11,17,9496
1,0,0,0,25,0,0,0,1,0,0,6,2023,5,30,2023,6,4,5
1,0,0,0,50,0,0,1,1,0,0,4,2023,5,30,2023,6,4,5
1,0,0,1,48,2,0,1,0,0,,2,,,,,,,
0,0,0,0,59,2,0,1,0,1,0,0,1997,11,17,2023,11,17,9496
1,0,0,1,22,2,0,0,0,0,,6,,,,,,,
1,0,0,1,48,2,0,1,0,0,,4,,,,,,,
1,0,0,0,36,0,0,0,1,0,0,5,2023,5,30,2023,6,4,5
0,0,0,0,59,2,0,1,0,1,0,2,1997,11,17,2023,11,17,9496
1,0,0,0,18,0,0,0,0,0,0,4,2023,11,6,2023,11,6,0
0,0,0,0,25,1,1,0,0,0,,0,,,,,,,
0,0,0,0,59,2,0,1,0,1,0,2,1997,11,17,2023,11,17,9496
1,0,0,0,25,0,0,0,1,0,0,4,2023,5,30,2023,6,4,5
1,0,0,1,34,2,0,0,0,1,,4,,,,,,,
0,0,0,0,59,2,0,1,0,1,0,4,1997,11,17,2023,11,17,9496
0,0,0,0,20,0,1,0,0,1,,1,,,,,,,
0,0,0,0,59,2,0,1,0,1,0,2,1997,11,17,2023,11,17,9496
0,0,0,0,25,1,1,0,0,0,,1,,,,,,,
1,0,0,0,25,0,0,0,1,0,0,4,2023,5,30,2023,6,4,5
0,0,0,0,20,0,1,0,0,1,,3,,,,,,,
1,0,0,0,36,0,0,0,1,0,0,4,2023,5,30,2023,6,4,5
1,0,0,0,25,0,0,0,1,0,0,6,2023,5,30,2023,6,4,5
0,0,0,0,59,2,0,1,0,1,0,3,1997,11,17,2023,11,17,9496
0,0,0,0,25,1,1,0,0,0,,1,,,,,,,
0,0,0,0,25,1,1,0,0,0,,0,,,,,,,
1,0,0,1,34,2,0,0,0,1,,4,,,,,,,
0,0,0,0,25,1,1,0,0,0,,2,,,,,,,
0,0,0,0,20,0,1,0,0,1,,2,,,,,,,
1,0,0,0,25,0,0,0,1,0,0,5,2023,5,30,2023,6,4,5
1,0,0,0,50,0,0,1,1,0,0,5,2023,5,30,2023,6,4,5
1,0,0,0,18,0,0,0,1,0,0,5,2023,11,6,2023,11,11,5
1,0,0,0,50,0,0,1,1,0,0,4,2023,5,30,2023,6,4,5
1,0,0,0,26,0,1,0,0,0,0,3,2023,11,20,2023,11,20,0
1,0,0,0,25,0,0,0,1,0,0,7,2023,5,30,2023,6,4,5
0,0,0,0,25,1,1,0,0,0,,4,,,,,,,
0,0,0,0,59,2,0,1,0,1,0,2,1997,11,17,2023,11,17,9496
0,0,0,0,20,0,1,0,0,1,,2,,,,,,,
1,0,0,1,22,2,0,0,0,0,,6,,,,,,,
1,0,0,0,50,0,0,1,1,0,0,6,2023,5,30,2023,6,4,5
1,0,0,0,18,0,0,0,1,0,0,3,2023,11,6,2023,11,11,5
0,0,0,0,59,2,0,1,0,1,0,1,1997,11,17,2023,11,17,9496
1,0,0,0,18,0,0,0,0,0,0,4,2023,11,6,2023,11,6,0
0,0,0,0,20,0,1,0,0,1,,2,,,,,,,
1,0,0,0,25,0,0,0,1,0,0,6,2023,5,30,2023,6,4,5
1,0,0,0,25,0,0,0,1,0,0,5,2023,5,30,2023,6,4,5
1,0,0,1,48,2,0,1,0,0,,6,,,,,,,
1,0,0,1,48,2,0,1,0,0,,5,,,,,,,
1,0,0,0,25,0,0,0,1,0,0,4,2023,5,30,2023,6,4,5
0,0,0,0,20,0,1,0,0,1,,2,,,,,,,
0,0,0,0,59,2,0,1,0,1,0,6,1997,11,17,2023,11,17,9496
0,0,0,0,59,2,0,1,0,1,0,2,1997,11,17,2023,11,17,9496
0,0,0,0,20,0,1,0,0,1,,1,,,,,,,
1,0,0,0,25,0,0,0,1,0,0,6,2023,5,30,2023,6,4,5
0,0,0,0,59,2,0,1,0,1,0,1,1997,11,17,2023,11,17,9496
0,0,0,0,20,0,1,0,0,1,,2,,,,,,,
0,0,0,0,25,1,1,0,0,0,,3,,,,,,,
1,0,0,0,50,0,0,1,1,0,0,5,2023,5,30,2023,6,4,5
1,0,0,1,22,2,0,0,0,0,,6,,,,,,,
1,0,0,0,50,0,0,1,1,0,0,4,2023,5,30,2023,6,4,5
0,0,0,0,25,1,1,0,0,0,,3,,,,,,,
1,0,0,0,25,0,0,0,1,0,0,5,2023,5,30,2023,6,4,5
0,0,0,0,25,1,1,0,0,0,,2,,,,,,,
1,0,0,1,34,2,0,0,0,1,,5,,,,,,,
1,0,0,1,22,2,0,0,0,0,,1,,,,,,,
1,0,0,0,36,0,0,0,1,0,0,3,2023,5,30,2023,6,4,5
0,0,0,0,25,1,1,0,0,0,,2,,,,,,,
0,0,0,0,59,2,0,1,0,1,0,4,1997,11,17,2023,11,17,9496
1,0,0,1,22,2,0,0,0,0,,7,,,,,,,
0,0,0,0,25,1,1,0,0,0,,4,,,,,,,
0,0,0,0,20,0,1,0,0,1,,4,,,,,,,
0,0,0,0,59,2,0,1,0,1,0,1,1997,11,17,2023,11,17,9496
1,0,0,0,36,0,0,0,1,0,0,2,2023,5,30,2023,6,4,5
0,0,0,0,25,1,1,0,0,0,,1,,,,,,,
1,0,0,1,48,2,0,1,0,0,,6,,,,,,,
1,0,0,1,34,2,0,0,0,1,,3,,,,,,,
1,0,0,0,36,0,0,0,1,0,0,5,2023,5,30,2023,6,4,5
1,0,0,0,25,0,0,0,1,0,0,6,2023,5,30,2023,6,4,5
1,0,0,1,22,2,0,0,0,0,,6,,,,,,,
0,0,0,0,25,1,1,0,0,0,,5,,,,,,,
1,0,0,1,22,2,0,0,0,0,,6,,,,,,,
1,0,0,0,25,0,0,0,1,0,0,3,2023,5,30,2023,6,4,5
1,0,0,0,18,0,0,0,1,0,0,3,2023,11,6,2023,11,11,5
1,0,0,0,50,0,0,1,1,0,0,9,2023,5,30,2023,6,4,5
1,0,0,0,36,0,0,0,1,0,0,4,2023,5,30,2023,6,4,5
1,0,0,1,34,2,0,0,0,1,,5,,,,,,,
0,0,0,0,25,1,1,0,0,0,,1,,,,,,,
0,0,0,0,20,0,1,0,0,1,,2,,,,,,,
0,0,0,0,20,0,1,0,0,1,,1,,,,,,,
1,0,0,1,22,2,0,0,0,0,,5,,,,,,,
1,0,0,0,25,0,0,0,1,0,0,2,2023,5,30,2023,6,4,5
1,0,0,0,18,0,0,0,1,0,0,4,2023,11,6,2023,11,11,5
1,0,0,1,48,2,0,1,0,0,,5,,,,,,,
1,0,0,1,34,2,0,0,0,1,,5,,,,,,,
1,0,0,0,36,0,0,0,1,0,0,5,2023,5,30,2023,6,4,5
0,0,0,0,59,2,0,1,0,1,0,1,1997,11,17,2023,11,17,9496
1,0,0,1,48,2,0,1,0,0,,5,,,,,,,
1,0,0,0,18,0,0,0,0,0,0,5,2023,11,6,2023,11,6,0
1,0,0,0,36,0,0,0,1,0,0,5,2023,5,30,2023,6,4,5
0,0,0,0,25,1,1,0,0,0,,1,,,,,,,
1,0,0,1,48,2,0,1,0,0,,3,,,,,,,
0,0,0,0,59,2,0,1,0,1,0,1,1997,11,17,2023,11,17,9496
1,0,0,0,25,0,0,0,1,0,0,3,2023,5,30,2023,6,4,5
1,0,0,1,34,2,0,0,0,1,,3,,,,,,,
0,0,0,0,59,2,0,1,0,1,0,2,1997,11,17,2023,11,17,9496
0,0,0,0,59,2,0,1,0,1,0,2,1997,11,17,2023,11,17,9496
0,0,0,0,59,2,0,1,0,1,0,1,1997,11,17,2023,11,17,9496
0,0,0,0,59,2,0,1,0,1,0,0,1997,11,17,2023,11,17,9496
0,0,0,0,25,1,1,0,0,0,,0,,,,,,,
1,0,0,0,25,0,0,0,1,0,0,4,2023,5,30,2023,6,4,5
1,0,0,1,22,2,0,0,0,0,,6,,,,,,,
1,0,0,0,25,0,0,0,1,0,0,4,2023,5,30,2023,6,4,5
0,0,0,0,20,0,1,0,0,1,,5,,,,,,,
0,0,0,0,20,0,1,0,0,1,,2,,,,,,,
1,0,0,1,22,2,0,0,0,0,,9,,,,,,,
0,0,0,0,59,2,0,1,0,1,0,2,1997,11,17,2023,11,17,9496
1,0,0,0,20,0,0,0,0,0,1,4,2023,9,12,2023,10,7,25
1,0,0,0,36,0,0,0,1,0,0,3,2023,5,30,2023,6,4,5
1,0,0,1,34,2,0,0,0,1,,8,,,,,,,
0,0,0,0,25,1,1,0,0,0,,3,,,,,,,
1,0,0,0,50,0,0,1,1,0,0,5,2023,5,30,2023,6,4,5
1,0,0,1,22,2,0,0,0,0,,2,,,,,,,
1,0,0,0,25,0,0,0,1,0,0,5,2023,5,30,2023,6,4,5
1,0,0,1,48,2,0,1,0,0,,4,,,,,,,
1,0,0,0,18,0,0,0,0,0,0,1,2023,11,6,2023,11,6,0
1,0,0,0,33,1,1,0,0,0,0,8,2024,2,4,2024,2,4,0
1,0,0,1,48,2,0,1,0,0,,5,,,,,,,
1,0,0,0,50,0,0,1,1,0,0,7,2023,5,30,2023,6,4,5
0,0,0,0,20,0,1,0,0,1,,5,,,,,,,
1,0,0,0,36,0,0,0,1,0,0,4,2023,5,30,2023,6,4,5
1,0,0,1,34,2,0,0,0,1,,5,,,,,,,
1,0,0,0,11,0,0,0,0,0,,7,,,,,,,
1,0,0,1,48,2,0,1,0,0,,5,,,,,,,
1,0,0,1,22,2,0,0,0,0,,6,,,,,,,
0,0,0,0,20,0,1,0,0,1,,1,,,,,,,
1,0,0,0,25,0,0,0,1,0,0,6,2023,5,30,2023,6,4,5
0,0,0,0,59,2,0,1,0,1,0,6,1997,11,17,2023,11,17,9496
0,0,0,0,59,2,0,1,0,1,0,5,1997,11,17,2023,11,17,9496
1,0,0,0,18,0,0,0,1,0,0,1,2023,11,6,2023,11,11,5
1,0,0,1,34,2,0,0,0,1,,3,,,,,,,
0,0,0,0,25,1,1,0,0,0,,1,,,,,,,
1,0,0,1,34,2,0,0,0,1,,5,,,,,,,
1,0,0,1,22,2,0,0,0,0,,5,,,,,,,
1,0,0,0,50,0,0,1,1,0,0,3,2023,5,30,2023,6,4,5
1,0,0,0,25,0,0,0,1,0,0,3,2023,5,30,2023,6,4,5
0,0,0,0,20,0,1,0,0,1,,3,,,,,,,
1,0,0,0,26,0,1,0,0,0,0,5,2023,11,20,2023,11,20,0
1,0,0,0,18,0,0,0,0,0,0,4,2023,11,6,2023,11,6,0
1,0,0,1,22,2,0,0,0,0,,6,,,,,,,
1,0,0,0,36,0,0,0,1,0,0,6,2023,5,30,2023,6,4,5
1,0,0,1,34,2,0,0,0,1,,6,,,,,,,
1,0,0,1,22,2,0,0,0,0,,4,,,,,,,
1,0,0,0,50,0,0,1,1,0,0,4,2023,5,30,2023,6,4,5
0,0,0,0,20,0,1,0,0,1,,4,,,,,,,
1,0,0,0,50,0,0,1,1,0,0,4,2023,5,30,2023,6,4,5
1,0,0,0,11,0,0,0,0,0,,3,,,,,,,
0,0,0,0,20,0,1,0,0,1,,3,,,,,,,
0,0,0,0,25,1,1,0,0,0,,2,,,,,,,
1,0,0,0,36,0,0,0,1,0,0,7,2023,5,30,2023,6,4,5
1,0,0,1,48,2,0,1,0,0,,3,,,,,,,
0,0,0,0,25,1,1,0,0,0,,0,,,,,,,
1,0,0,0,25,0,0,0,1,0,0,5,2023,5,30,2023,6,4,5
0,0,0,0,25,1,1,0,0,0,,3,,,,,,,
1,0,0,1,48,2,0,1,0,0,,4,,,,,,,
0,0,0,0,25,1,1,0,0,0,,1,,,,,,,
1,0,0,1,34,2,0,0,0,1,,6,,,,,,,
1,0,0,0,33,1,1,0,0,0,0,8,2024,2,4,2024,2,4,0
1,0,0,1,22,2,0,0,0,0,,5,,,,,,,
0,0,0,0,25,1,1,0,0,0,,0,,,,,,,
0,0,0,0,20,0,1,0,0,1,,4,,,,,,,
1,0,0,1,48,2,0,1,0,0,,6,,,,,,,
0,0,0,0,20,0,1,0,0,1,,2,,,,,,,
1,0,0,0,50,0,0,1,1,0,0,6,2023,5,30,2023,6,4,5
0,0,0,0,20,0,1,0,0,1,,0,,,,,,,
0,0,0,0,20,0,1,0,0,1,,0,,,,,,,
1,0,0,0,20,0,0,0,0,0,1,6,2023,9,12,2023,10,7,25
1,0,0,1,34,2,0,0,0,1,,4,,,,,,,
0,0,0,0,25,1,1,0,0,0,,1,,,,,,,
0,0,0,0,25,1,1,0,0,0,,0,,,,,,,
0,0,0,0,20,0,1,0,0,1,,4,,,,,,,
1,0,0,1,34,2,0,0,0,1,,3,,,,,,,
1,0,0,1,22,2,0,0,0,0,,1,,,,,,,
0,0,0,0,25,1,1,0,0,0,,0,,,,,,,
0,0,0,0,20,0,1,0,0,1,,2,,,,,,,
1,0,0,1,22,2,0,0,0,0,,7,,,,,,,
1,0,0,1,22,2,0,0,0,0,,4,,,,,,,
0,0,0,0,25,1,1,0,0,0,,2,,,,,,,
0,0,0,0,59,2,0,1,0,1,0,2,1997,11,17,2023,11,17,9496
1,0,0,1,34,2,0,0,0,1,,4,,,,,,,
0,0,0,0,59,2,0,1,0,1,0,1,1997,11,17,2023,11,17,9496
0,0,0,0,25,1,1,0,0,0,,1,,,,,,,
0,0,0,0,59,2,0,1,0,1,0,3,1997,11,17,2023,11,17,9496
0,0,0,0,25,1,1,0,0,0,,1,,,,,,,
1,0,0,1,48,2,0,1,0,0,,5,,,,,,,
1,0,0,1,22,2,0,0,0,0,,4,,,,,,,
0,0,0,0,20,0,1,0,0,1,,1,,,,,,,
1,0,0,0,36,0,0,0,1,0,0,6,2023,5,30,2023,6,4,5
1,0,0,0,18,0,0,0,1,0,0,4,2023,11,6,2023,11,11,5
1,0,0,0,20,0,0,0,0,0,1,3,2023,9,12,2023,10,7,25
1,0,0,0,50,0,0,1,1,0,0,6,2023,5,30,2023,6,4,5
0,0,0,0,25,1,1,0,0,0,,2,,,,,,,
1,0,0,1,22,2,0,0,0,0,,4,,,,,,,
1,0,0,0,36,0,0,0,1,0,0,4,2023,5,30,2023,6,4,5
1,0,0,0,50,0,0,1,1,0,0,7,2023,5,30,2023,6,4,5
0,0,0,0,59,2,0,1,0,1,0,2,1997,11,17,2023,11,17,9496
1,0,0,0,20,0,0,0,0,0,1,6,2023,9,12,2023,10,7,25
1,0,0,0,18,0,0,0,0,0,0,7,2023,11,6,2023,11,6,0
1,0,0,0,50,0,0,1,1,0,0,5,2023,5,30,2023,6,4,5
1,0,0,0,33,1,1,0,0,0,0,4,2024,2,4,2024,2,4,0
0,0,0,0,25,1,1,0,0,0,,0,,,,,,,
0,0,0,0,59,2,0,1,0,1,0,3,1997,11,17,2023,11,17,9496
1,0,0,1,22,2,0,0,0,0,,5,,,,,,,
1,0,0,0,25,0,0,0,1,0,0,4,2023,5,30,2023,6,4,5
0,0,0,0,20,0,1,0,0,1,,2,,,,,,,
0,0,0,0,59,2,0,1,0,1,0,1,1997,11,17,2023,11,17,9496
1,0,0,1,48,2,0,1,0,0,,7,,,,,,,
0,0,0,0,20,0,1,0,0,1,,5,,,,,,,
1,0,0,1,22,2,0,0,0,0,,5,,,,,,,
1,0,0,0,25,0,0,0,1,0,0,4,2023,5,30,2023,6,4,5
1,0,0,0,25,0,0,0,1,0,0,5,2023,5,30,2023,6,4,5
1,0,0,1,34,2,0,0,0,1,,5,,,,,,,
0,0,0,0,59,2,0,1,0,1,0,2,1997,11,17,2023,11,17,9496
0,0,0,0,25,1,1,0,0,0,,1,,,,,,,
1,0,0,0,18,0,0,0,0,0,0,2,2023,11,6,2023,11,6,0
0,0,0,0,20,0,1,0,0,1,,2,,,,,,,
0,0,0,0,25,1,1,0,0,0,,0,,,,,,,
1,0,0,0,26,0,1,0,0,0,0,3,2023,11,20,2023,11,20,0
0,0,0,0,20,0,1,0,0,1,,4,,,,,,,
0,0,0,0,59,2,0,1,0,1,0,0,1997,11,17,2023,11,17,9496
1,0,0,0,36,0,0,0,1,0,0,5,2023,5,30,2023,6,4,5
0,0,0,0,20,0,1,0,0,1,,4,,,,,,,
0,0,0,0,59,2,0,1,0,1,0,4,1997,11,17,2023,11,17,9496
0,0,0,0,20,0,1,0,0,1,,0,,,,,,,
1,0,0,0,25,0,0,0,1,0,0,4,2023,5,30,2023,6,4,5
0,0,0,0,59,2,0,1,0,1,0,2,1997,11,17,2023,11,17,9496
1,0,0,0,18,0,0,0,1,0,0,7,2023,11,6,2023,11,11,5
0,0,0,0,25,1,1,0,0,0,,1,,,,,,,
0,0,0,0,59,2,0,1,0,1,0,2,1997,11,17,2023,11,17,9496
1,0,0,1,48,2,0,1,0,0,,6,,,,,,,
1,0,0,1,22,2,0,0,0,0,,6,,,,,,,
0,0,0,0,20,0,1,0,0,1,,2,,,,,,,
1,0,0,1,34,2,0,0,0,1,,3,,,,,,,
0,0,0,0,59,2,0,1,0,1,0,2,1997,11,17,2023,11,17,9496
0,0,0,0,20,0,1,0,0,1,,1,,,,,,,
0,0,0,0,20,0,1,0,0,1,,2,,,,,,,
1,0,0,0,26,0,1,0,0,0,0,6,2023,11,20,2023,11,20,0
